Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
Ethereum,0x04a506d97ecc7b75a98ae21f80ed7da58d14cc3000a0205fff7b99b4d49d20ed,Success,Transfer,ERC-20: USDC,,0xf9eabed5cfb85a0e9caed2ccd12cfc6a7cfc9501,Address,0x64efb037a4cc95449eb1d4873cbee49a65926085,Contract
Ethereum,0x8398433b1b6186bfd1df82763ab0aecb9661cd84aa68c4ac1bce45f61278865f,Success,Transfer,ERC-20: USDC,,0x6a66e736314d6c002dc137c2c57310812538362a,Address,0xd16977b0d56dc3bc3a524e192df895128f571c84,Address
Ethereum,0xdcf7c9f2a2bf38b0b9b1220113f70ea6d3ffbdbb6b9d043b465b9add96bc795e,Success,Transfer,ERC-20: USDC,,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,0xd0511adec072aedc89a411b74cbaff00ac69cef0,Address
Ethereum,0x7ead3462c1bd65569b2adbe18cd3a48f1a2b41cb2243f755c1ddd7c90777b98f,Success,Execute,ERC-20: USDC,,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Uniswap V2: USDC,0x11181bd3baf5ce2a478e98361985d42625de35d1,Uniswap V2: ASTO-USDC
Ethereum,0xfd177ba57e3f419edcd23f023ffa8a24ba67602867b7c3203aaa1debd3bc2686,Success,49c36c07,ERC-20: USDC,,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,MEV Bot: 0x98c...b8e,0x3df6bb62348d786a50b635b638ff99d850f98211,Uniswap V3: CVX-USDC 3
Ethereum,0x666712ea2e013e4cc2fdb32af0063a410930980b32c09c2fc8565d1bf205695b,Success,0300080c,ERC-20: USDC,,0x6719c6ebf80d6499ca9ce170cda72beb3f1d1a54,Contract,0xa7600c4fbddb57e44018bee74a5f6b636cb68352,Uniswap V3: CPOOL-USDC
Ethereum,0x005708656630d2dbba1a5493219c7650b708f8fc6c3804cbd024c74511aab925,Success,252f7b01,ERC-20: USDC,,0xdf0770df86a8034b3efef0a1bb3c889b8332ff56,Stargate Finance: S*USDC Token,0x6d033e0edca8557bf1453d0146e5f595f6607731,happyplanet.eth
Ethereum,0xe4c67abf34d9b104b6b03be8807fe9e7aa4ec93873a6012457fb6947f8cc2b90,Success,Transfer,ERC-20: USDC,,0xb280fcfab101872e7216b7090f51d1ee0f685ddd,Address,0x1b99d1c4aa6b604d75ae2e39268f33f526c197b5,Address
Ethereum,0xee7282153f88bda0741ba9d356ce06554029f864e899cbb5481400a56939272e,Success,Transfer,ERC-20: USDC,,0x974caa59e49682cda0ad2bbe82983419a2ecc400,Stake.com,0x07a8b689515c964c9ea3d2afaccd51ab89a6d6f8,Address
Ethereum,0x2592e0a84f48acd5aa18b0ec7ca0ce10cf2ead36153a2c595b31d3131755cf4e,Success,Transfer,ERC-20: USDC,,0xf45cb82cf57390868feedf42a20ced61576a5a75,avolalim.eth,0x58a2b35b93b7f26bee79773ad04840001e4c4cc6,Address
